SSID_MAC주소,지하철역명,지하철호선ID
02:09:b4:61:3d:5a,동묘앞,1006
0a:30:0d:84:4e:32,동묘앞,1006
00:09:b4:61:3d:5a,동묘앞,1006
02:09:b4:61:3b:ab,동묘앞,1006
02:09:b4:61:3b:aa,동묘앞,1006
00:09:b4:61:39:3b,동묘앞,1006
02:09:b4:61:39:3b,동묘앞,1006
00:40:5a:b7:11:1a,동묘앞,1006
06:30:0d:84:49:02,동묘앞,1006
00:40:5a:b7:11:1b,동묘앞,1006
02:09:b4:61:39:3a,동묘앞,1006
00:30:0d:84:49:00,동묘앞,1006
02:09:b4:61:55:2a,동묘앞,1006
00:30:0d:84:49:10,동묘앞,1006
00:09:b4:61:3b:ab,동묘앞,1006
00:09:b4:61:55:2a,동묘앞,1006
00:40:5a:b7:81:22,동묘앞,1006
02:09:b4:61:55:2b,동묘앞,1006
00:40:5a:b7:81:23,동묘앞,1006
12:16:1f:03:77:f2,창신,1006
12:16:1f:03:77:f3,창신,1006
12:16:1f:03:7f:7e,창신,1006
00:40:5a:b7:50:ca,창신,1006
0a:30:0d:76:e5:11,창신,1006
12:16:1f:03:7f:7f,창신,1006
06:30:0d:76:e5:01,창신,1006
00:40:5a:b7:03:5a,창신,1006
00:16:1f:03:77:f3,창신,1006
00:30:0d:76:e5:10,창신,1006
00:16:1f:03:7f:7e,창신,1006
00:16:1f:03:7f:7f,창신,1006
00:40:5a:b7:50:cb,창신,1006
00:30:0d:76:e5:00,창신,1006
00:40:5a:b7:07:63,창신,1006
00:40:5a:b7:03:5b,창신,1006
00:25:a6:a4:61:16,창신,1006
00:25:a6:a4:37:71,창신,1006
00:40:5a:b7:07:f3,창신,1006
12:16:1f:03:85:a3,창신,1006
00:40:5a:b7:07:f2,창신,1006
00:25:a6:a4:39:3e,창신,1006
00:16:1f:03:77:f2,창신,1006
0e:0e:47:01:3d:4a,양재,1077
0a:0e:47:01:3d:4a,양재,1077
00:09:b4:61:00:37,양재,1077
00:09:b4:61:00:36,양재,1077
02:09:b4:61:00:37,양재,1077
02:09:b4:61:00:36,양재,1077
12:16:1f:03:74:f3,양재,1077
00:09:b4:61:00:07,양재,1077
12:16:1f:03:74:83,양재,1077
12:16:1f:03:74:6f,양재,1077
02:09:b4:61:00:07,양재,1077
00:16:1f:03:74:6f,양재,1077
0e:0e:47:01:3e:72,양재,1077
0a:0e:47:01:3e:72,양재,1077
00:07:89:0f:23:67,압구정,1003
00:40:5a:af:3f:d2,압구정,1003
0a:30:0d:84:f0:f2,잠실,1008
0a:30:0d:84:ef:12,잠실,1008
02:07:89:0f:d9:01,잠실,1008
02:07:89:0f:d9:05,잠실,1008
00:30:0d:84:f0:c0,잠실,1008
02:07:89:0f:d8:f9,잠실,1008
02:07:89:0f:d9:11,잠실,1008
00:30:0d:84:f0:e0,잠실,1008
02:09:b4:61:01:c2,양재시민의숲,1077
00:09:b4:61:01:c2,양재시민의숲,1077
00:09:b4:61:02:52,양재시민의숲,1077
00:09:b4:61:01:c3,양재시민의숲,1077
02:09:b4:61:01:c3,양재시민의숲,1077
00:16:1f:03:71:8f,양재시민의숲,1077
12:16:1f:03:57:5a,양재시민의숲,1077
12:16:1f:03:66:16,양재시민의숲,1077
12:16:1f:03:71:8e,양재시민의숲,1077
00:16:1f:03:57:5a,양재시민의숲,1077
00:16:1f:03:71:8e,양재시민의숲,1077
00:16:1f:03:66:16,양재시민의숲,1077
12:16:1f:03:66:17,양재시민의숲,1077
00:16:1f:03:66:17,양재시민의숲,1077
12:16:1f:03:58:c2,양재시민의숲,1077
00:16:1f:03:58:c2,양재시민의숲,1077
00:09:b4:61:00:ef,양재시민의숲,1077
12:16:1f:03:57:5b,양재시민의숲,1077
00:09:b4:61:02:53,양재시민의숲,1077
0e:0e:47:01:3d:42,양재시민의숲,1077
02:09:b4:61:00:ef,양재시민의숲,1077
02:09:b4:61:00:ee,양재시민의숲,1077
00:07:89:10:52:de,양재시민의숲,1077
00:09:b4:61:00:92,양재시민의숲,1077
02:07:89:10:52:de,양재시민의숲,1077
02:09:b4:61:00:93,양재시민의숲,1077
00:09:b4:61:00:ee,양재시민의숲,1077
02:07:89:10:41:fe,양재시민의숲,1077
02:09:b4:61:00:92,양재시민의숲,1077
0e:0e:47:01:2f:8a,청계산입구,1077
12:16:1f:03:80:23,청계산입구,1077
00:16:1f:03:80:23,청계산입구,1077
12:16:1f:03:5d:17,청계산입구,1077
00:09:b4:61:01:b7,청계산입구,1077
02:09:b4:61:01:b7,청계산입구,1077
